Cache,Pattern,Operation,DataType,Method,Duration_ms,Bandwidth_Gbps
Hot  ,Same   ,Load       ,i64,ld2d      ,88.436,74.11
Hot  ,Same   ,Load       ,i64,ld1d+uzp  ,86.729,75.56
Hot  ,Same   ,Store      ,i64,st2d      ,207.942,31.52
Hot  ,Same   ,Store      ,i64,zip+st1d  ,207.183,31.63
Hot  ,Same   ,Load+Store ,i64,ld2d+st2d ,892.280,14.69
Hot  ,Same   ,Load+Store ,i64,ld1d+st1d ,822.498,15.94
Hot  ,Linear ,Load       ,i64,ld2d      ,92.584,70.79
Hot  ,Linear ,Load       ,i64,ld1d+uzp  ,88.319,74.20
Hot  ,Linear ,Store      ,i64,st2d      ,88.365,74.16
Hot  ,Linear ,Store      ,i64,zip+st1d  ,88.533,74.02
Hot  ,Linear ,Load+Store ,i64,ld2d+st2d ,174.144,75.27
Hot  ,Linear ,Load+Store ,i64,ld1d+st1d ,186.503,70.28
Hot  ,Random ,Load       ,i64,ld2d      ,90.651,72.29
Hot  ,Random ,Load       ,i64,ld1d+uzp  ,87.385,75.00
Hot  ,Random ,Store      ,i64,st2d      ,88.402,74.13
Hot  ,Random ,Store      ,i64,zip+st1d  ,88.361,74.17
Hot  ,Random ,Load+Store ,i64,ld2d+st2d ,175.175,74.82
Hot  ,Random ,Load+Store ,i64,ld1d+st1d ,188.607,69.49
Cold ,Same   ,Load       ,i64,ld2d      ,8.888,73.74
Cold ,Same   ,Load       ,i64,ld1d+uzp  ,8.672,75.57
Cold ,Same   ,Store      ,i64,st2d      ,20.816,31.48
Cold ,Same   ,Store      ,i64,zip+st1d  ,20.789,31.52
Cold ,Same   ,Load+Store ,i64,ld2d+st2d ,89.462,14.65
Cold ,Same   ,Load+Store ,i64,ld1d+st1d ,82.250,15.94
Cold ,Linear ,Load       ,i64,ld2d      ,9.218,71.09
Cold ,Linear ,Load       ,i64,ld1d+uzp  ,8.840,74.14
Cold ,Linear ,Store      ,i64,st2d      ,8.431,77.73
Cold ,Linear ,Store      ,i64,zip+st1d  ,7.988,82.04
Cold ,Linear ,Load+Store ,i64,ld2d+st2d ,17.507,74.87
Cold ,Linear ,Load+Store ,i64,ld1d+st1d ,18.842,69.56
Cold ,Random ,Load       ,i64,ld2d      ,13.373,49.01
Cold ,Random ,Load       ,i64,ld1d+uzp  ,12.701,51.60
Cold ,Random ,Store      ,i64,st2d      ,13.619,48.12
Cold ,Random ,Store      ,i64,zip+st1d  ,13.606,48.17
Cold ,Random ,Load+Store ,i64,ld2d+st2d ,22.562,58.09
Cold ,Random ,Load+Store ,i64,ld1d+st1d ,21.894,59.87
Hot  ,Same   ,Load       ,i32,ld2w      ,88.365,74.17
Hot  ,Same   ,Load       ,i32,ld1w+uzp  ,86.632,75.65
Hot  ,Same   ,Store      ,i32,st2w      ,207.681,31.56
Hot  ,Same   ,Store      ,i32,zip+st1w  ,207.379,31.60
Hot  ,Same   ,Load+Store ,i32,ld2w+st2w ,892.040,14.69
Hot  ,Same   ,Load+Store ,i32,ld1w+st1w ,822.588,15.93
Hot  ,Linear ,Load       ,i32,ld2w      ,91.391,71.71
Hot  ,Linear ,Load       ,i32,ld1w+uzp  ,88.184,74.32
Hot  ,Linear ,Store      ,i32,st2w      ,84.483,77.57
Hot  ,Linear ,Store      ,i32,zip+st1w  ,81.401,80.51
Hot  ,Linear ,Load+Store ,i32,ld2w+st2w ,176.494,74.26
Hot  ,Linear ,Load+Store ,i32,ld1w+st1w ,187.423,69.93
Hot  ,Random ,Load       ,i32,ld2w      ,89.868,72.92
Hot  ,Random ,Load       ,i32,ld1w+uzp  ,86.936,75.38
Hot  ,Random ,Store      ,i32,st2w      ,87.436,74.95
Hot  ,Random ,Store      ,i32,zip+st1w  ,87.104,75.24
Hot  ,Random ,Load+Store ,i32,ld2w+st2w ,175.497,74.69
Hot  ,Random ,Load+Store ,i32,ld1w+st1w ,186.097,70.43
Cold ,Same   ,Load       ,i32,ld2w      ,8.777,74.67
Cold ,Same   ,Load       ,i32,ld1w+uzp  ,8.665,75.63
Cold ,Same   ,Store      ,i32,st2w      ,20.791,31.52
Cold ,Same   ,Store      ,i32,zip+st1w  ,20.616,31.79
Cold ,Same   ,Load+Store ,i32,ld2w+st2w ,89.211,14.69
Cold ,Same   ,Load+Store ,i32,ld1w+st1w ,83.138,15.77
Cold ,Linear ,Load       ,i32,ld2w      ,9.179,71.40
Cold ,Linear ,Load       ,i32,ld1w+uzp  ,8.819,74.31
Cold ,Linear ,Store      ,i32,st2w      ,8.498,77.12
Cold ,Linear ,Store      ,i32,zip+st1w  ,7.920,82.75
Cold ,Linear ,Load+Store ,i32,ld2w+st2w ,17.400,75.33
Cold ,Linear ,Load+Store ,i32,ld1w+st1w ,18.198,72.03
Cold ,Random ,Load       ,i32,ld2w      ,13.521,48.47
Cold ,Random ,Load       ,i32,ld1w+uzp  ,12.789,51.24
Cold ,Random ,Store      ,i32,st2w      ,13.623,48.11
Cold ,Random ,Store      ,i32,zip+st1w  ,13.615,48.13
Cold ,Random ,Load+Store ,i32,ld2w+st2w ,22.574,58.06
Cold ,Random ,Load+Store ,i32,ld1w+st1w ,21.819,60.07
